name,x,y,z,gravity
ABERCROMBIE & FITCH CO,2.379720006,4.417763939,2.477101445,0.724812972
ADIDAS AG,1.672442643,4.739191943,4.454106318,0.198318511
"AKAMAI TECHNOLOGIES, INC.",0.788555249,1.024116185,4.824697804,0.599270182
AMERICAN AIRLINES GROUP INC,2.324626027,0.404407601,4.237438854,0.164691353
AMERICAN EXPRESS COMPANY,0.621242348,1.955492035,1.146754862,0.397292788
AMERICAN WATER WORKS CO INCORPORATED,4.610806601,1.656183291,4.932251795,1.138234781
AMGEN INC.,2.576195456,4.390356706,2.797885453,0.326629681
ANALOG DEVICES INCORPORATED,0.66976576,0.26209214,2.747025899,0.69636314
APTARGROUP INCORPORATED,3.438798341,4.656727296,4.132962342,0.466511204
ASTRAZENECA PLC,1.886291114,1.39908831,2.672065035,1.137908907
"AUTOMATIC DATA PROCESSING, INC.",1.678561873,2.162292881,3.466412684,1.653900249
"BEST BUY CO., INC.",0.387840674,4.509482404,4.820060918,0.49850526
BLACKBERRY LIMITED,1.336597799,2.538686739,3.905370622,1.216293669
BOEING CO,0.289189266,2.660642274,1.387916598,1.964925959
BOSTON SCIENTIFIC CORPORATION,1.015608174,0.708674025,3.72117407,1.342481617
BRP INC,1.261564487,2.134093139,4.221064664,0.132644573
CAMPBELL SOUP COMPANY,3.694941178,3.398514081,4.974477929,1.825851997
"CARDINAL HEALTH, INC.",3.918243922,0.638076934,0.502366562,0.915039926
CARNIVAL CORP,1.850141643,2.549767629,3.587499672,0.652192242
CHEVRON CORPORATION,1.566120513,1.840762517,1.470059205,0.688447896
CISCO SYSTEMS INCORPORATED,1.683584436,4.610377038,2.601949461,1.397840871
CONAGRA BRANDS INC,4.831988375,1.943627507,1.123268578,1.819249627
CUMMINS INC.,3.211565828,3.48001803,3.398731176,1.074770152
DELTA AIR LINES INC,3.080869815,3.253732648,2.386907752,1.157486748
DOVER CORPORATION,4.939754027,3.407133894,4.786174387,0.309470307
ECOLAB INC.,4.212179211,1.638296878,0.293903324,1.20771462
ELECTROLUX AB,3.064512305,4.407126362,1.221874981,0.972303875
ELI LILLY AND COMPANY,0.443876643,2.796234511,2.186862762,0.84969187
ESTEE LAUDER COMPANIES INC,3.140468586,0.31814135,0.512906445,1.078114652
EXXON MOBIL CORPORATION,0.759657013,0.041335857,3.610451574,1.679662481
FERRARI NV,0.722025861,1.755488907,1.130315356,0.696409324
FORD MOTOR COMPANY,2.661448988,1.626742271,2.073353692,0.217000056
GENERAL ELECTRIC COMPANY,2.792560628,3.974046526,3.428469626,1.004933614
GENERAL MOTORS COMPANY,0.776500621,3.869227002,4.703277976,0.123266823
GOODYEAR TIRE & RUBBER CO,4.38254912,3.863447592,0.892344479,1.83742342
GUESS? INC,1.518425067,4.776275308,0.984246672,0.859172454
HALLIBURTON COMPANY,0.663416212,0.664388342,1.11391948,1.938023116
"HERMAN MILLER, INC.",3.915712765,3.443697373,1.880749984,1.082691713
HERTZ GLOBAL HOLDINGS INC (NEW),1.372423533,3.848665027,2.963214698,1.668281897
HEWLETT PACKARD ENTERPRISE CO,0.730750476,0.427238125,1.185479173,1.812483991
HILTON WORLDWIDE HOLDINGS INC,1.857504674,1.885894198,0.235467048,1.871027662
HONEYWELL INTERNATIONAL INCORPORATED,0.682161753,2.738128315,0.900849804,1.91917252
HYATT HOTELS CORPORATION,2.675693334,3.46097029,1.558490614,1.663856858
INFOSYS LIMITED,3.384567467,4.67887932,4.516868431,1.355677862
INTERNATIONAL BUSINESS MACHINES CORPORATION,3.178778321,4.001714243,2.191045697,1.845076667
INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,2.504162805,0.137674908,0.565603111,0.780164533
J B HUNT TRANSPORT SERVICES INC,4.85781639,0.300624237,1.134262726,1.012230835
KIMBERLY-CLARK CORPORATION,1.690286531,2.760956847,2.436771419,1.523277227
KOHL'S CORPORATION,2.616654135,3.789841472,2.732193718,0.071653124
KOMATSU LIMITED,1.249527023,1.435604114,2.370438554,1.387669565
