name,x,y,z,gravity
ABERCROMBIE & FITCH CO,2.724338472,2.75188446,0.974629,0.38229046
ADIDAS AG,2.837312222,4.86715734,0.292098392,0.20191688
"AKAMAI TECHNOLOGIES, INC.",3.898186982,2.189225256,2.463816702,1.29325648
AMERICAN AIRLINES GROUP INC,2.788176239,1.583540589,1.791903079,0.44315794
AMERICAN EXPRESS COMPANY,4.969603419,0.903773829,1.176622957,1.2703662
AMERICAN WATER WORKS CO INCORPORATED,4.008820355,1.385563612,1.975294352,1.37584956
AMGEN INC.,3.97921443,1.383226514,1.42157197,1.07907706
ANALOG DEVICES INCORPORATED,3.741939664,1.771356463,3.653306365,0.52354712
APTARGROUP INCORPORATED,3.165624142,0.781363547,3.290314972,0.09447412
ASTRAZENECA PLC,3.36297065,1.529776007,1.70451656,0.72630604
"AUTOMATIC DATA PROCESSING, INC.",4.836024642,2.579978704,1.334222257,1.4961607
"BEST BUY CO., INC.",3.022322059,2.818729281,1.194658503,0.4628055
BLACKBERRY LIMITED,2.222687006,3.133077025,1.017282605,0.26514022
BOEING CO,2.457045913,0.671837479,3.383510113,0.26226114
BOSTON SCIENTIFIC CORPORATION,3.904460073,0.793656558,2.212685794,0.92287272
BRP INC,4.393567741,2.224542797,1.908310503,2.02063922
CAMPBELL SOUP COMPANY,4.086853266,1.595726311,2.24570632,1.72485196
"CARDINAL HEALTH, INC.",4.325996637,1.138324887,0.384370536,0.70575362
CARNIVAL CORP,3.272690475,0.542147681,1.493708789,0.50375272
CHEVRON CORPORATION,3.377795815,2.108231485,2.336718142,0.70016468
CISCO SYSTEMS INCORPORATED,4.653173089,1.203581393,1.18612349,0.114586069
CONAGRA BRANDS INC,3.233915567,0.533149317,1.601960063,0.826661555
CUMMINS INC.,2.97450155,1.933903396,2.25328058,0.832037788
DELTA AIR LINES INC,2.627111673,1.156520844,1.888634861,1.966646825
DOVER CORPORATION,2.703018785,4.438109398,1.592557877,0.101838343
ECOLAB INC.,4.089511633,2.131865025,2.442724854,0.315874908
ELECTROLUX AB,4.059045911,3.321653903,3.968266845,0.217705833
ELI LILLY AND COMPANY,4.201349616,2.968588471,2.211029977,0.202931306
ESTEE LAUDER COMPANIES INC,4.996651411,1.88306883,1.152582765,0.051858756
EXXON MOBIL CORPORATION,3.574596643,0.936933905,1.700226068,0.58542774
FERRARI NV,3.490482867,2.622570097,1.37658298,0.182798956
FORD MOTOR COMPANY,4.710357785,0.490128547,1.713255346,0.169533275
GENERAL ELECTRIC COMPANY,3.424050808,1.310198605,2.231725156,0.720842777
GENERAL MOTORS COMPANY,4.115169644,2.297735214,2.544114292,0.310492598
GOODYEAR TIRE & RUBBER CO,3.681463599,1.951949149,2.713347077,0.466911095
GUESS? INC,4.518197477,1.642537713,2.368771583,0.265614689
HALLIBURTON COMPANY,4.233860075,2.139502168,1.660998911,0.165980904
"HERMAN MILLER, INC.",1.954780221,3.813226223,1.096315086,0.110121149
HERTZ GLOBAL HOLDINGS INC (NEW),3.757522106,1.655041575,0.661976486,0.171000503
HEWLETT PACKARD ENTERPRISE CO,3.296652436,3.111841083,0.77051118,0.061359938
HILTON WORLDWIDE HOLDINGS INC,4.424999952,2.36890763,2.50195086,0.232618463
HONEYWELL INTERNATIONAL INCORPORATED,3.746119738,0.572440922,1.09277837,0.090548091
HYATT HOTELS CORPORATION,3.099350035,2.452195436,2.193349004,0.475953938
INFOSYS LIMITED,4.132839143,2.133293748,2.633211017,0.320526673
INTERNATIONAL BUSINESS MACHINES CORPORATION,3.694030046,0.901556611,1.273324192,0.226099247
INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,4.366573691,2.006806582,3.221081197,0.301952682
J B HUNT TRANSPORT SERVICES INC,4.140341282,0.940598696,2.656874657,0.434433098
KIMBERLY-CLARK CORPORATION,5.591711998,0.659206212,2.174391448,0.12565048
KOHL'S CORPORATION,3.167959452,1.225168109,2.85780549,0.860599916
KOMATSU LIMITED,2.561050653,2.584991455,2.536540031,0.616827899
